Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Seniority_Days,TotalSpend,TotalChildren,Is_Couple,CmpAccepted_Total,WebRatio,AvgSpendPerPurchase,Education_Enc
Graduation,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,67,663,1617,0,0,0,0.34782608695652173,70.30434782608695,2
Graduation,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,70,113,27,2,0,0,0.2,5.4,2
Graduation,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,59,312,776,0,1,0,0.38095238095238093,36.95238095238095,2
Graduation,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,40,139,53,1,1,0,0.2857142857142857,7.571428571428571,2
PhD,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,43,161,422,1,1,0,0.3333333333333333,28.133333333333333,4
Master,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,57,293,716,1,1,0,0.2857142857142857,34.095238095238095,3
Graduation,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,53,593,590,1,0,0,0.3888888888888889,32.77777777777778,2
PhD,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,39,417,169,1,1,0,0.4444444444444444,18.77777777777778,4
PhD,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,50,388,46,1,1,0,0.5,7.666666666666667,4
PhD,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,74,108,49,2,1,1,0.5,24.5,4
Basic,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,48,593,61,0,1,0,0.3333333333333333,10.166666666666666,0
Graduation,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,65,226,1102,0,0,0,0.1875,68.875,2
Master,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,72,226,310,2,0,0,0.46153846153846156,23.846153846153847,3
Graduation,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,37,627,46,0,1,0,0.2,9.2,2
PhD,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,78,582,1315,0,0,2,0.2692307692307692,50.57692307692308,4
Graduation,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,44,552,96,2,1,0,0.42857142857142855,13.714285714285714,2
Graduation,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,78,667,317,0,1,0,0.3333333333333333,26.416666666666668,2
Master,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,75,458,1782,1,1,1,0.44,71.28,3
2n Cycle,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,39,603,133,1,0,0,0.2857142857142857,19.0,1
Graduation,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,42,690,316,0,1,0,0.3333333333333333,26.333333333333332,2
Graduation,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,45,539,1730,1,1,0,0.0,59.6551724137931,2
PhD,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,75,553,972,1,1,1,0.13333333333333333,64.8,4
PhD,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,70,169,544,1,1,0,0.3333333333333333,30.22222222222222,4
Graduation,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,73,468,444,1,1,0,0.5,31.714285714285715,2
Graduation,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,55,543,75,0,0,0,0.2857142857142857,10.714285714285714,2
Graduation,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,48,398,257,2,1,0,0.45454545454545453,23.363636363636363,2
Graduation,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,35,394,131,1,1,0,0.25,16.375,2
PhD,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,59,219,1672,0,1,1,0.23076923076923078,64.3076923076923,4
Master,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,35,38,30,0,0,0,0.42857142857142855,4.285714285714286,3
Master,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,61,414,318,0,1,0,0.18181818181818182,28.90909090909091,3
Graduation,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,54,627,120,1,1,1,0.25,15.0,2
PhD,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,72,608,302,2,0,0,0.3333333333333333,25.166666666666668,4
Master,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,78,494,1196,0,1,0,0.16666666666666666,66.44444444444444,3
Master,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,73,304,65,2,0,0,0.3333333333333333,10.833333333333334,3
PhD,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,54,180,913,1,1,0,0.20833333333333334,38.041666666666664,4
2n Cycle,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,48,300,81,1,1,0,0.42857142857142855,11.571428571428571,1
Graduation,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,51,138,67,1,0,0,0.16666666666666666,11.166666666666666,2
PhD,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,81,513,902,0,0,1,0.30434782608695654,39.21739130434783,4
Graduation,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,44,426,1395,1,1,0,0.4,69.75,2
Master,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,39,474,53,1,1,0,0.3333333333333333,8.833333333333334,3
Graduation,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,67,552,22,1,1,0,0.0,5.5,2
Master,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,49,270,31,1,1,0,0.3333333333333333,5.166666666666667,3
Graduation,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,48,1,984,0,0,0,0.125,61.5,2
2n Cycle,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,28,597,122,0,1,0,0.375,15.25,1
Graduation,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,56,401,55,1,1,0,0.4,11.0,2
PhD,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,70,598,1319,2,1,0,0.25,65.95,4
Graduation,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,67,48,507,1,0,0,0.23529411764705882,29.823529411764707,2
Master,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,60,687,1693,0,1,0,0.20689655172413793,58.37931034482759,3
Graduation,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,47,543,72,1,0,0,0.3333333333333333,12.0,2
Graduation,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,47,22,1617,0,0,2,0.19047619047619047,77.0,2
Graduation,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,46,382,606,2,1,0,0.23529411764705882,35.64705882352941,2
Master,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,69,587,1957,0,1,1,0.1111111111111111,72.48148148148148,3
Graduation,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,58,453,1093,0,0,0,0.23809523809523808,52.04761904761905,2
Graduation,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,36,62,29,1,0,0,0.16666666666666666,4.833333333333333,2
PhD,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,56,118,518,1,1,0,0.47058823529411764,30.470588235294116,4
Master,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,42,360,1438,0,0,2,0.14285714285714285,68.47619047619048,3
Graduation,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,49,660,612,2,1,0,0.21052631578947367,32.21052631578947,2
Graduation,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,72,496,884,1,0,0,0.38095238095238093,42.095238095238095,2
PhD,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,73,383,606,1,0,0,0.3684210526315789,31.894736842105264,4
Graduation,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,76,205,1076,0,1,0,0.4375,67.25,2
Graduation,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,53,404,34,1,1,0,0.2,6.8,2
Graduation,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,57,49,11,2,1,0,0.25,2.75,2
2n Cycle,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,45,102,1274,1,0,2,0.34375,39.8125,1
Graduation,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,66,275,653,1,1,0,0.2777777777777778,36.27777777777778,2
Graduation,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,54,447,1562,3,1,0,0.15384615384615385,120.15384615384616,2
Master,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,70,656,1253,0,1,0,0.21052631578947367,65.94736842105263,3
Graduation,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,65,469,863,1,1,0,0.37037037037037035,31.962962962962962,2
PhD,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,49,450,661,2,1,1,0.45,33.05,4
Graduation,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,72,60,65,0,1,0,0.25,8.125,2
Graduation,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,47,557,13,1,0,0,0.25,3.25,2
Master,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,52,671,1890,0,1,0,0.3684210526315789,99.47368421052632,3
Graduation,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,48,625,2209,0,0,1,0.21739130434782608,96.04347826086956,2
2n Cycle,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,48,298,18,0,1,0,0.0,4.5,1
Graduation,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,59,543,692,0,1,1,0.5,34.6,2
Graduation,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,39,669,165,1,0,0,0.3333333333333333,18.333333333333332,2
Graduation,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,55,371,16,1,1,0,0.25,4.0,2
2n Cycle,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,51,361,79,1,1,0,0.42857142857142855,11.285714285714286,1
Master,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,61,414,318,0,1,0,0.18181818181818182,28.90909090909091,3
Graduation,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,37,124,778,0,0,0,0.1111111111111111,28.814814814814813,2
Graduation,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,64,322,56,2,1,0,0.16666666666666666,9.333333333333334,2
Master,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,54,348,151,2,1,1,0.3333333333333333,16.77777777777778,3
Graduation,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,67,32,372,1,0,2,0.42857142857142855,26.571428571428573,2
Graduation,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,51,48,1366,0,1,1,0.2631578947368421,71.89473684210526,2
Graduation,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,57,159,194,1,1,0,0.2,19.4,2
Master,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,52,98,32,1,0,0,0.2,6.4,3
PhD,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,54,36,43,1,1,0,0.375,5.375,4
Graduation,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,41,38,45,1,1,0,0.3333333333333333,7.5,2
Graduation,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,64,584,606,1,0,1,0.3888888888888889,33.666666666666664,2
Graduation,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,52,444,63,2,0,0,0.3333333333333333,10.5,2
2n Cycle,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,73,210,978,0,1,1,0.2,39.12,1
PhD,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,41,374,410,0,1,0,0.3333333333333333,27.333333333333332,4
2n Cycle,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,64,341,72,1,0,0,0.3333333333333333,12.0,1
PhD,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,65,91,55,1,0,0,0.3333333333333333,9.166666666666666,4
Graduation,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,45,435,1169,1,1,0,0.34615384615384615,44.96153846153846,2
PhD,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,79,408,1120,0,1,0,0.375,70.0,4
Graduation,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,65,52,1097,0,1,0,0.15,54.85,2
Basic,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,45,201,29,1,1,0,0.2,5.8,0
Graduation,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,60,278,187,2,1,0,0.4,18.7,2
Graduation,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,55,512,910,2,1,0,0.2608695652173913,39.56521739130435,2
Graduation,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,46,557,145,1,0,0,0.375,18.125,2
Master,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,64,569,850,0,1,0,0.35714285714285715,60.714285714285715,3
Graduation,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,45,239,969,1,1,0,0.25,40.375,2
PhD,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,33,596,1820,0,0,1,0.4117647058823529,107.05882352941177,4
Master,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,61,4,608,1,1,1,0.4444444444444444,33.77777777777778,3
Graduation,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,33,543,730,0,0,2,0.24,29.2,2
PhD,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,44,564,551,1,1,0,0.35294117647058826,32.411764705882355,4
Graduation,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,62,292,114,2,0,0,0.2857142857142857,16.285714285714285,2
Graduation,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,54,156,1724,0,1,2,0.25,107.75,2
2n Cycle,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,46,495,577,1,1,0,0.5625,36.0625,1
2n Cycle,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,57,353,81,2,1,0,0.16666666666666666,13.5,1
Graduation,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,55,227,33,1,1,0,0.3333333333333333,5.5,2
Master,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,71,374,660,1,1,0,0.3157894736842105,34.73684210526316,3
Master,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,57,125,80,1,0,0,0.2857142857142857,11.428571428571429,3
Master,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,39,298,30,2,1,0,0.2,6.0,3
Graduation,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,48,433,43,1,0,0,0.2,8.6,2
Graduation,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,41,474,1135,0,0,3,0.21428571428571427,40.535714285714285,2
