Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Age,Seniority_Days,TotalSpend,TotalChildren,Is_Couple,CmpAccepted_Total,WebRatio,AvgSpendPerPurchase,Education_Enc,y_true,y_proba,y_pred,Cluster,Segment
65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,48,227,1053,1,1,0,0.1875,65.8125,3,1,0.0358705533199471,0,0,Actifs Moyens
94472.0,0,1,75,1017,33,417,108,100,16,1,5,5,5,5,0,1,1,0,0,0,66,87,1691,1,0,2,0.3125,105.6875,2,0,0.29636548378295835,0,3,Premium Engages
75012.0,0,0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,48,155,1027,0,0,0,0.1304347826086956,44.65217391304348,3,0,0.017462398872419866,0,2,Aises Passifs
36778.0,1,1,63,29,4,34,2,4,4,3,3,0,3,9,0,0,0,0,0,0,56,693,77,2,1,0,0.4285714285714285,11.0,4,0,0.18013016319470324,0,1,Petits Budgets
70038.0,0,0,54,587,54,348,71,54,130,1,4,4,8,2,0,0,0,0,0,0,42,247,1244,0,1,0,0.2352941176470588,73.17647058823529,4,0,0.012573548942856264,0,2,Aises Passifs
62535.0,0,1,13,163,48,90,0,45,52,1,3,2,8,3,0,0,0,0,0,0,69,269,398,1,0,0,0.2142857142857142,28.428571428571427,2,0,0.028385167526869974,0,0,Actifs Moyens
31928.0,1,0,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,35,93,72,1,1,0,0.375,9.0,2,0,0.026343085670373675,0,1,Petits Budgets
67419.0,0,1,29,846,84,352,91,56,42,4,9,4,8,5,0,0,0,0,0,0,54,529,1471,1,1,0,0.4090909090909091,66.86363636363636,2,0,0.024920698025151372,0,2,Aises Passifs
60474.0,0,1,25,265,199,303,234,9,170,7,10,2,12,7,0,0,0,0,0,0,45,454,1180,1,0,0,0.4,47.2,2,0,0.0186738491538829,0,2,Aises Passifs
33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,46,293,78,1,1,0,0.2857142857142857,11.142857142857142,2,0,0.04246642723908152,0,1,Petits Budgets
